Model,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Val_ROC_AUC,Val_PR_AUC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC,Test_PR_AUC
LogisticRegression,0.9777777777777777,0.7407407407407407,0.975609756097561,0.8421052631578947,0.9945372008925136,0.9410934409158116,0.9644444444444444,0.625,1.0,0.7692307692307693,0.9949606299212599,0.9186476827198672
RandomForest,0.9985185185185185,1.0,0.975609756097561,0.9876543209876543,1.0,1.0000000000000002,0.9985185185185185,1.0,0.975,0.9873417721518988,0.9999606299212599,0.9993902439024392
XGBoost,0.9985185185185185,1.0,0.975609756097561,0.9876543209876543,0.9999615295837501,0.9994192799070848,0.9985185185185185,0.975609756097561,1.0,0.9876543209876543,1.0,1.0
SVM,0.9837037037037037,0.8,0.975609756097561,0.8791208791208791,0.9940755558975148,0.9441756596349578,0.9777777777777777,0.7450980392156863,0.95,0.8351648351648352,0.995472440944882,0.9251801781510335
GradientBoosting,1.0,1.0,1.0,1.0,1.0,1.0,0.9985185185185185,1.0,0.975,0.9873417721518988,0.9846653543307088,0.9764814814814815
